Kraftwerksname / Standort,Betreiber,Bundesland,Standort-PLZ,Kraftwerksstandort,Elektrische Bruttoleistung (MW),Anlagenart,Primärenergieträger,Latitude,Longitude,Type_Prod,Erzeuger
Albatros,EnBW Albatros GmbH & Co. KG / Enbridge Inc.,Offshore,,Nordsee,112.0,WEA,Wind (O),54.49996044900345,6.400231636593729,Erneuerbar,EnBW
Albbruck-Dogern / Rhein,Rheinkraftwerk Albbruck-Dogern AG / RWE Vertrieb AG,BW,79774.0,Albbruck,108.9,LWK,Wasser,47.5943254,8.1336893,Erneuerbar,RWE
"Altbach/Deizisau GT A-C, E",EnBW Kraftwerke AG,BW,73776.0,Altbach,305.0,GT,Erdgas,48.7244372,9.3807848,Konventionell,EnBW
Altbach/Deizisau HKW 1,EnBW Kraftwerke AG,BW,73776.0,Altbach,476.0,HKW,Steinkohle,48.7244372,9.3807848,Konventionell,EnBW
Altbach/Deizisau HKW 2,EnBW Kraftwerke AG,BW,73776.0,Altbach,379.0,HKW (DT),Steinkohle,48.7244372,9.3807848,Konventionell,EnBW
Alttrebbin,EnBW Solarpark GmbH / ALH-Gruppe,BB,15320.0,Neutrebbin,150.0,PV,Licht,52.6670589,14.2262364,Erneuerbar,EnBW
Amrumbank West,RWE Renewables GmbH,Offshore,,Nordsee,302.0,WEA,Wind (O),54.49996259102901,7.799667403047954,Erneuerbar,RWE
Arcadis Ost 1,Parkwind NV,Offshore,,Ostsee,256.5,WEA,Wind (O),54.79993194376447,13.683097262586784,Erneuerbar,Other
Arkona,RWE Renewables GmbH / Equinor / Credit Suisse Energy,Offshore,,Ostsee,387.0,WEA,Wind (O),54.78193191346503,14.120839064432534,Erneuerbar,RWE
Arneburg,SachsenFonds GmbH & Co. KG,ST,39596.0,Arneburg,118.5,WEA,Wind (L),52.674454,12.0035022,Erneuerbar,Other
Arneburg,Zellstoff Stendal GmbH,ST,39596.0,Arneburg,147.7,HKW,Biomasse,52.674454,12.0035022,Erneuerbar,Other
Bad Langensalza,EEV Erneuerbare Energien / Thüga Erneuerbare Energien,TH,99869.0,Nessetal,158.9,WEA,Wind (L),51.00984625,10.652023825751373,Erneuerbar,Other
Baltic II (Kriegers Flak I),EnBW Baltic 2 GmbH & Co. KG,Offshore,,Ostsee,288.0,WEA,Wind (O),54.973290167502434,13.17761686444611,Erneuerbar,EnBW
BARD Offshore,Ocean Breeze Energy GmbH & Co. KG,Offshore,,Nordsee,400.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
"Bedburg I+II, A44n",RWE Innogy GmbH / Stadt Bedburg / Breeze Two Energy GmbH / BMR energy solutions GmbH,NW,50181.0,Bedburg,119.7,WEA,Wind (L),50.9972161,6.5767648,Erneuerbar,RWE
Bergkamen A,Steag GmbH,NW,59192.0,Bergkamen,780.0,DKW,Steinkohle,51.6149389,7.6362876,Konventionell,Other
Berlin-Charlottenburg 4+5,Vattenfall Wärme Berlin AG,BE,10589.0,Berlin,146.0,G/AK,Erdgas,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Klingenberg DT 1-3,Vattenfall Wärme Berlin AG,BE,10317.0,Berlin,188.0,HKW,Erdgas,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Lichterfelde,Vattenfall Wärme Berlin AG,BE,12207.0,Berlin,315.0,GuD,Erdgas,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Marzahn,Vattenfall Wärme Berlin AG,BE,12861.0,Berlin,266.5,GuD,Erdgas,44.2100759,-72.6034049442611,Konventionell,Vattenfall
Berlin-Mitte HKW GT 1,Vattenfall Wärme Berlin AG,BE,10179.0,Berlin,185.0,GuD,Erdgas,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Mitte HKW GT 2,Vattenfall Wärme Berlin AG,BE,10179.0,Berlin,185.0,GuD,Erdgas,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Mitte HKW DT,Vattenfall Wärme Berlin AG,BE,10179.0,Berlin,112.0,GuD,Erdgas,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Moabit A,Vattenfall Wärme Berlin AG,BE,13353.0,Berlin,100.0,HKW,Steinkohle,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Reuter-West D,Vattenfall Wärme Berlin AG,BE,13599.0,Berlin,300.0,HKW,Steinkohle,52.5170365,13.3888599,Konventionell,Vattenfall
Berlin-Reuter-West E,Vattenfall Wärme Berlin AG,BE,13599.0,Berlin,300.0,HKW,Steinkohle,52.5170365,13.3888599,Konventionell,Vattenfall
Bernburg,Solvay Chemicals GmbH,ST,6406.0,Bernburg,158.0,GuD / IKW,Erdgas,48.2053395,8.6398649,Konventionell,Other
Bexbach,Steag Power Saar GmbH,SL,66450.0,Bexbach,780.0,DKW,Steinkohle,49.347299,7.2548948,Konventionell,Other
Biblis,RWE Power AG,HE,68647.0,Biblis,427.9,GT,Erdgas,49.6879986,8.4534916,Konventionell,RWE
Biere / Borne,WPD AG,ST,39221.0,Biere,108.9,WEA,Wind (L),51.9739339,11.6540252,Erneuerbar,Other
Bitterfeld Chemiepark,envia THERM GmbH,ST,6749.0,Bitterfeld,114.0,GuD / IKW,Erdgas,51.5514579,7.5324668,Konventionell,Other
Boitzenburger Land,SEBG Energiepark GmbH,BB,17268.0,Boitzenburger Land,180.3,PV,Licht,53.21410733010617,13.505241869146296,Erneuerbar,Other
Bonn-Nord,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,NW,53115.0,Bonn,100.0,GuD,Erdgas,50.735851,7.10066,Konventionell,Other
Borkum Riffgrund I,Ørsted Wind Power Germany GmbH / Greencoat Renewables,Offshore,,Nordsee,312.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Borkum Riffgrund II,Ørsted Wind Power Germany GmbH / Global Infrastructure Partners (GIP) / Gulf Energy,Offshore,,Nordsee,464.8,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Borkum West I,Trianel Windkraftwerk Borkum GmbH,Offshore,,Nordsee,200.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Borkum West II,Trianel Windkraftwerk Borkum II GmbH & Co. KG / EWE AG / Elektrizitätswerk Zürich,Offshore,,Nordsee,203.2,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Boxberg N,Lausitz Energie Kraftwerke AG (LEAG),SN,2943.0,Boxberg,500.0,DKW,Braunkohle,48.4733594,8.1514411,Konventionell,Other
Boxberg P,Lausitz Energie Kraftwerke AG (LEAG),SN,2943.0,Boxberg,500.0,DKW,Braunkohle,48.4733594,8.1514411,Konventionell,Other
Boxberg Q,Lausitz Energie Kraftwerke AG (LEAG),SN,2943.0,Boxberg,907.0,DKW,Braunkohle,48.4733594,8.1514411,Konventionell,Other
Boxberg R,Lausitz Energie Kraftwerke AG (LEAG),SN,2943.0,Boxberg,675.0,DKW,Braunkohle,48.4733594,8.1514411,Konventionell,Other
Braunau-Simbach / Inn,Grenzkraftwerke GmbH,BY,84359.0,Simbach am Inn,101.3,LWK,Wasser,48.2663113,13.0279972,Erneuerbar,Other
Braunschweig-Mitte,Braunschweiger Versorgungs AG,NI,38106.0,Braunschweig,189.2,GuD / G/AK / HKW,"Erdgas, Biomasse",52.2646577,10.5236066,Konventionell,Other
Bremen-Farge,Onyx Power GmbH (Riverstone Holdings LLC),HB,28777.0,Bremen,397.0,DKW,Steinkohle,53.0758196,8.8071646,Konventionell,Other
Bremen-Hastedt,swb Erzeugung GmbH,HB,28207.0,Bremen,124.0,BHKW,Erdgas,53.0758196,8.8071646,Konventionell,Other
Bremen-Mittelsbüren 4,swb Erzeugung GmbH,HB,28237.0,Bremen,160.0,DKW,Gichtgas,53.0758196,8.8071646,Konventionell,Other
Bremen-Mittelsbüren (GKB),swb Erzeugung GmbH,HB,28237.0,Bremen,460.0,GuD,Erdgas,53.0758196,8.8071646,Konventionell,Other
Bundorf,Max Solar GmbH / SÜDWERK GmbH / EnergieGenossenschaft Inn-Salzach eG,BY,97494.0,Bundorf,125.0,PV,Licht,50.215188,10.5233687,Erneuerbar,Other
Burghausen,Kraftwerk Burghausen GmbH / Wacker Chemie AG,BY,84489.0,Burghausen,238.4,GuD,Erdgas,48.1689863,12.8304816,Konventionell,Other
Butendiek,WPD AG / Greencoat Renewables,Offshore,,Nordsee,288.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Calau,CEE Windpark Calau GmbH & Co. KG,BB,3205.0,Calau,100.0,WEA,Wind (L),51.73417755,13.988083853098262,Erneuerbar,Other
Chemnitz Nord III,eins energie in sachsen GmbH & Co. KG,SN,9114.0,Chemnitz,100.0,GMA / Akku,"Erdgas, Batteriespeicher",50.85701771083883,12.922109358512987,Konventionell,Other
Dahme,Windpark Dahme GmbH & Co. KG,BB,15926.0,Kemlitz,150.5,WEA,Wind (L),51.83490305,13.53129670636276,Erneuerbar,Other
DanTysk,DanTysk Offshore Wind GmbH,Offshore,,Nordsee,302.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Darmstadt,Entega AG,HE,64293.0,Darmstadt,100.0,GT,Erdgas,49.872775,8.651177,Konventionell,Other
Datteln 4,Uniper SE,NW,45711.0,Datteln,1100.0,DKW,Steinkohle,51.651468,7.3385906,Konventionell,Eon
Deutsche Bucht,Northland Power,Offshore,,Nordsee,277.2,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Döllen,Solarpark Döllen GmbH / CEE Group,BB,16866.0,Gumtow,154.4,PV,Licht,52.9792807,12.2523998,Erneuerbar,Other
Dormagen,RWE Power AG / Currenta GmbH,NW,41539.0,Dormagen,597.1,GuD / IKW,Erdgas,51.0941656,6.8407931,Konventionell,RWE
Dörpen,UPM Nordland Papier GmbH,NI,26892.0,Dörpen,154.0,GuD / IKW,Erdgas,52.9661969,7.3290664,Konventionell,Other
Dresden Nossener Brücke,DREWAG Stadtwerke Dresden GmbH,SN,1159.0,Dresden,270.0,GuD,Erdgas,51.04353621529555,13.710996724416384,Konventionell,Other
Dresden-Reick,DREWAG Stadtwerke Dresden GmbH,SN,1067.0,Dresden,100.0,GMA / HKW,Erdgas,14.5659338,121.1040983,Konventionell,Other
Druxberge,Umspannwerke Druxberge GmbH & Co. KG,ST,39365.0,Druxberge,116.7,WEA,Wind (L),52.156142,11.310094,Erneuerbar,Other
Duben,Vattenfall / UKA / BKW FMB,BB,15926.0,Luckau,135.0,WEA,Wind (L),51.8524163,13.7150055,Erneuerbar,Vattenfall
Duisburg-Hamborn 4,ThyssenKrupp Stahl AG (TKS),NW,47166.0,Duisburg,108.0,HKW / IKW,Gichtgas,51.434999,6.759562,Konventionell,Other
Duisburg-Hamborn 5,RWE / TKS,NW,47166.0,Duisburg,240.7,HKW,Gichtgas,51.434999,6.759562,Konventionell,RWE
Duisburg-Ruhrort 3,ThyssenKrupp Stahl AG (TKS),NW,47166.0,Duisburg,101.0,HKW / IKW,Gichtgas,51.434999,6.759562,Konventionell,Other
Duisburg-Ruhrort 4,ThyssenKrupp Stahl AG (TKS),NW,47166.0,Duisburg,177.0,HKW / IKW,Gichtgas,51.434999,6.759562,Konventionell,Other
Duisburg-Walsum 10,Steag GmbH,NW,47179.0,Duisburg,790.0,HKW,Steinkohle,51.434999,6.759562,Konventionell,Other
Duisburg-Wanheim HKW III B,StW Duisburg,NW,47249.0,Duisburg,245.0,GuD,Erdgas,51.434999,6.759562,Konventionell,Other
Düsseldorf-Holthausen,Henkel AG & Co. KGaA / BASF,NW,40589.0,Düsseldorf,118.4,GT / DT / HKW,"Erdgas, Steinkohle",51.2254018,6.7763137,Konventionell,Other
Eisenhüttenstadt,VEO GmbH,BB,15890.0,Eisenhüttenstadt,170.0,HKW / IKW,Konvertergas,52.1448863,14.6294413,Konventionell,Other
Emsland B (Lingen) DT,RWE Power AG,NI,49808.0,Lingen,372.6,GuD,Erdgas,52.5224659,7.316584,Konventionell,RWE
Emsland B (Lingen) GT 1 u. 2,RWE Power AG,NI,49808.0,Lingen,120.0,GuD,Erdgas,52.5224659,7.316584,Konventionell,RWE
Emsland C (Lingen) DT,RWE Power AG,NI,49808.0,Lingen,372.6,GuD,Erdgas,52.5224659,7.316584,Konventionell,RWE
Emsland C (Lingen) GT 1 u. 2,RWE Power AG,NI,49808.0,Lingen,120.0,GuD,Erdgas,52.5224659,7.316584,Konventionell,RWE
Emsland D (Lingen) DT,RWE Power AG,NI,49808.0,Lingen,345.1,GuD,Erdgas,52.5224659,7.316584,Konventionell,RWE
Emsland D (Lingen) GT 1,RWE Power AG,NI,49808.0,Lingen,297.9,GuD,Erdgas,52.5224659,7.316584,Konventionell,RWE
Emsland D (Lingen) GT 2,RWE Power AG,NI,49808.0,Lingen,297.9,GuD,Erdgas,52.5224659,7.316584,Konventionell,RWE
Energiepark Lausitz (Klettwitz Nord+Süd),Lausitz Energie Kraftwerke AG (LEAG) / EP New Energies (EPNE),BB,1998.0,Schipkau,170.0,PV,Licht,51.535809065504765,13.867190672202955,Erneuerbar,Other
Energiepark Lausitz (Klettwitz-Schipkau Nord+Süd),Klettwitz Green Energy (KGE) Windpark Schipkau GmbH & Co. KG,BB,1998.0,Klettwitz,205.3,WEA,Wind (L),51.535809065504765,13.867190672202955,Erneuerbar,Other
Energiepark Witznitz,MOVE ON Energy GmbH / Hansainvest Real Assets,SN,4575.0,Neukieritzsch,650.0,PV,Licht,51.1502147,12.4090412,Erneuerbar,Other
Erfurt-Ost,StW Erfurt (SWE),TH,99087.0,Erfurt,129.6,GuD,Erdgas,50.9777974,11.0287364,Konventionell,Other
Erzhausen 1-4 / Leine,Statkraft Markets GmbH,NI,37574.0,Einbeck,222.9,PSW,Wasser,51.8185067,9.8678465,Erneuerbar,Other
Esperstedt-Obhausen,HSE AG / N-ERGIE AG / StW Leipzig,ST,6279.0,Esperstedt,122.1,WEA,Wind (L),51.3475992,11.1782481,Erneuerbar,Other
Fehmarn,Windpark Fehmarn GmbH,SH,23769.0,Fehmarn,170.2,WEA,Wind (L),54.4687375,11.134084837911692,Erneuerbar,Other
Feldheim I-V,Energiequelle GmbH Windpark Feldheim KG,BB,14929.0,Feldheim,143.1,WEA,Wind (L),52.0110006,12.819423,Erneuerbar,Other
Finsterwalde-Lichterfeld I-V,SILVINO GmbH / MITAB GmbH / LHI Solar GmbH / Blue Forrest Solar / IBC Solar AG,BB,3238.0,Finsterwalde,135.9,PV,Licht,53.1983282,7.083378,Erneuerbar,Other
Flensburg K10 bis K13,StW Flensburg,SH,24939.0,Flensburg,241.4,GuD / HKW,"Erdgas, Steinkohle",54.7833021,9.4333264,Konventionell,Other
Franken I-1 (Nürnberg),Uniper SE,BY,90449.0,Nürnberg,453.0,GuD,Erdgas,49.453872,11.077298,Konventionell,Eon
Franken I-2 (Nürnberg),Uniper SE,BY,90449.0,Nürnberg,448.0,GuD,Erdgas,49.453872,11.077298,Konventionell,Eon
Frankfurt-Höchst A u. B,InfraServ GmbH Hoechst KG,HE,65929.0,Frankfurt / M.,128.2,GuD / HKW,Erdgas,50.1106444,8.6820917,Konventionell,Other
Frankfurt-Höchst C,InfraServ GmbH Hoechst KG,HE,65929.0,Frankfurt / M.,105.7,G/AK,Erdgas,50.1106444,8.6820917,Konventionell,Other
Frankfurt-Höchst D u. E,InfraServ GmbH Hoechst KG,HE,65929.0,Frankfurt / M.,177.4,G/AK,Erdgas,50.1106444,8.6820917,Konventionell,Other
Frankfurt-West 2 u. 3,Mainova AG,HE,60327.0,Frankfurt / M.,144.0,HKW,Steinkohle,50.1106444,8.6820917,Konventionell,Other
Frankfurt-West 4 u. 5,Mainova AG,HE,60327.0,Frankfurt / M.,154.0,G/AK u. DT,Erdgas,50.1106444,8.6820917,Konventionell,Other
Frechen / Wachtberg,RWE Power AG,NW,50226.0,Frechen,202.0,HKW / IKW,Braunkohle,50.9096219,6.8081935,Konventionell,RWE
Gambsheim / Rhein,EnBW / EDF,BW,77866.0,Gambsheim,108.0,LWK,Wasser,48.68550247641455,7.91306548048917,Erneuerbar,EnBW
Geesthacht A-C / Elbe,Vattenfall Wasserkraft GmbH,SH,21502.0,Geesthacht,120.0,PSW,Wasser,53.4374683,10.3678235,Erneuerbar,Vattenfall
Gelsenkirchen-Scholven B,Uniper SE,NW,45896.0,Gelsenkirchen,370.0,DKW,Steinkohle,51.5110321,7.0960124,Konventionell,Eon
Gelsenkirchen-Scholven C,Uniper SE,NW,45896.0,Gelsenkirchen,370.0,DKW,Steinkohle,51.5110321,7.0960124,Konventionell,Eon
Gersteinwerk F (Werne),RWE Power AG,NW,59368.0,Werne/Lippe,444.0,GT / DT,Erdgas,51.660483,7.658548,Konventionell,RWE
Gersteinwerk G (Werne),RWE Power AG,NW,59368.0,Werne/Lippe,444.0,GT / DT,Erdgas,51.660483,7.658548,Konventionell,RWE
Gersteinwerk I (Werne),RWE Power AG,NW,59368.0,Werne/Lippe,444.0,GT / DT,Erdgas,51.660483,7.658548,Konventionell,RWE
Gersteinwerk K1 (GT) (Werne),RWE Power AG,NW,59368.0,Werne/Lippe,112.0,GT,Erdgas,51.660483,7.658548,Konventionell,RWE
GlobalTech 1,Global Tech I Offshore Wind GmbH,Offshore,,Nordsee,400.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Gode Wind 1,Ørsted Wind Power Germany GmbH / GIP,Offshore,,Nordsee,330.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Gode Wind 2,Ørsted Wind Power Germany GmbH,Offshore,,Nordsee,252.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Goldisthal A / Schwarzatal,Vattenfall Wasserkraft GmbH,TH,98746.0,Goldisthal,265.0,PSW,Wasser,50.5187418,11.0045155,Erneuerbar,Vattenfall
Goldisthal B / Schwarzatal,Vattenfall Wasserkraft GmbH,TH,98746.0,Goldisthal,265.0,PSW,Wasser,50.5187418,11.0045155,Erneuerbar,Vattenfall
Goldisthal C / Schwarzatal,Vattenfall Wasserkraft GmbH,TH,98746.0,Goldisthal,265.0,PSW,Wasser,50.5187418,11.0045155,Erneuerbar,Vattenfall
Goldisthal D / Schwarzatal,Vattenfall Wasserkraft GmbH,TH,98746.0,Goldisthal,265.0,PSW,Wasser,50.5187418,11.0045155,Erneuerbar,Vattenfall
Gottesgabe,EnBW Solarpark GmbH / ALH-Gruppe,BB,15320.0,Neuhardenberg,150.0,PV,Licht,52.5965971,14.2383658,Erneuerbar,EnBW
Grevenbroich - Neurath  D,RWE Power AG,NW,41517.0,Grevenbroich,647.0,DKW,Braunkohle,51.0905783,6.5835365,Konventionell,RWE
Grevenbroich - Neurath  E,RWE Power AG,NW,41517.0,Grevenbroich,645.0,DKW,Braunkohle,51.0905783,6.5835365,Konventionell,RWE
Grevenbroich - Neurath  F (BoA 2),RWE Power AG,NW,41517.0,Grevenbroich,1100.0,DKW,Braunkohle,51.0905783,6.5835365,Konventionell,RWE
Grevenbroich - Neurath  G (BoA 3),RWE Power AG,NW,41517.0,Grevenbroich,1100.0,DKW,Braunkohle,51.0905783,6.5835365,Konventionell,RWE
Großkayna 1-3,envia THERM GmbH,ST,6242.0,Großkayna,136.9,GT,HEL,51.29128,11.9361757,Konventionell,Other
Halle Dieselstraße A-C,StW Halle GmbH,ST,6112.0,Halle (Saale),172.9,GuD,Erdgas,49.5188582,9.3067017,Konventionell,Other
Hamburg-Tiefstack GuD,Vattenfall Europe GmbH,HH,22113.0,Hamburg,142.0,GuD,Erdgas,53.550341,10.000654,Konventionell,Vattenfall
Hamburg-Tiefstack HKW,Vattenfall Europe GmbH,HH,22113.0,Hamburg,210.0,HKW,Steinkohle,53.550341,10.000654,Konventionell,Vattenfall
Hamm-Uentrop 10,Trianel Gaskraftwerk Hamm GmbH & Co. KG,NW,59071.0,Hamm,445.0,GuD,Erdgas,51.6804093,7.815197,Konventionell,Other
Hamm-Uentrop 20,Trianel Gaskraftwerk Hamm GmbH & Co. KG,NW,59071.0,Hamm,445.0,GuD,Erdgas,51.6804093,7.815197,Konventionell,Other
Hannover-Linden,Enercity (StW Hannover) / Uniper SE,NI,30169.0,Hannover,255.0,GuD,Erdgas,52.3744779,9.7385532,Konventionell,Eon
Hannover-Stöcken,"Enercity (StW Hannover), Continental, VWK",NI,30419.0,Hannover,300.0,HKW,Steinkohle,52.3744779,9.7385532,Konventionell,Other
Häusern 1 bis 4,Schluchseewerk AG,BW,79837.0,Häusern,145.0,PSW,Wasser,47.7540444,8.1672955,Erneuerbar,Other
Hausham GT 1 bis 4,Peißenberger Kraftwerks GmbH (PKG),BY,83734.0,Hausham,107.0,GT,HEL,47.7507322,11.8394101,Konventionell,Other
Havelland,WPD AG,BB,14776.0,Havelland,171.9,WEA,Wind (L),52.3654614,12.7589946,Erneuerbar,Other
Heilbronn 5,EnBW Kraftwerke AG,BW,74076.0,Heilbronn,137.0,DKW,Steinkohle,49.142291,9.218655,Konventionell,EnBW
Heilbronn 6,EnBW Kraftwerke AG,BW,74076.0,Heilbronn,137.0,DKW,Steinkohle,49.142291,9.218655,Konventionell,EnBW
Heilbronn 7,EnBW Kraftwerke AG,BW,74076.0,Heilbronn,822.0,HKW,Steinkohle,49.142291,9.218655,Konventionell,EnBW
Herdecke H3 (Cuno),Mark-E AG / Statkraft,NW,58313.0,Herdecke,432.0,GuD,Erdgas,51.4001119,7.4330062,Konventionell,Other
Herne 4,Steag GmbH / StW Herne,NW,44653.0,Herne,511.0,HKW,Steinkohle,51.5380394,7.219985,Konventionell,Other
Herne 6,Steag GuD Herne GmbH / Siemens AG,NW,44653.0,Herne,650.0,GuD,Erdgas,51.5380394,7.219985,Konventionell,Other
Heyden,Uniper SE,NW,32469.0,Petershagen,923.0,DKW,Steinkohle,52.3756616,8.9668368,Konventionell,Eon
Hohe See,EnBW Hohe See GmbH & Co. KG / Enbridge Inc.,Offshore,,Nordsee,497.0,WEA,Wind (O),54.43321470436756,6.316859815972744,Erneuerbar,EnBW
Hohenwarte II  A bis H,Vattenfall Wasserkraft GmbH,TH,7338.0,Hohenwarte,320.0,PSW,Wasser,50.60688417995047,11.47331103346306,Erneuerbar,Vattenfall
Holtriem-Dornum,"Windpark Norderland, Dornum & Holtriem",NI,26556.0,Westerholt,167.0,WEA,Wind (L),53.5916548,7.4526483,Erneuerbar,Other
Huckingen A,RWE Power AG / HKM GmbH,NW,47259.0,Huckingen,320.0,GuD,Gichtgas,51.3659376,6.7505523,Konventionell,RWE
Huckingen B,RWE Power AG / HKM GmbH,NW,47259.0,Huckingen,320.0,GuD,Gichtgas,51.3659376,6.7505523,Konventionell,RWE
Huntorf CAES,Uniper SE,NI,26931.0,Elsfleth,323.0,GT,"Erdgas, Druckluft",53.2357029,8.4571037,Konventionell,Eon
Hüselitz I-III,Windpark Hüselitz GmbH,ST,39579.0,Hüselitz,151.2,WEA,Wind (L),52.5084944,11.808782,Erneuerbar,Other
Iffezheim/ Rhein,Rheinkraftwerk Iffezheim GmbH (RKI),BW,76473.0,Iffezheim,152.0,LWK,Wasser,48.8209175,8.1421337,Erneuerbar,Other
Ingolstadt 3 - Großmehring,Uniper SE,BY,85098.0,Großmehring,420.0,DKW,HS,48.7664732,11.5333568,Konventionell,Eon
Ingolstadt 4 - Großmehring,Uniper SE,BY,85098.0,Großmehring,420.0,DKW,HS,48.7664732,11.5333568,Konventionell,Eon
Irsching 3,Uniper SE,BY,85088.0,Vohburg,440.0,DKW,Erdgas,48.7672231,11.6239384,Konventionell,Eon
Irsching 4,Uniper SE,BY,85088.0,Vohburg,578.0,GuD,Erdgas,48.7672231,11.6239384,Konventionell,Eon
Irsching 5,"Uniper SE, N-Ergie, Mainova, Heag",BY,85088.0,Vohburg,876.0,GuD,Erdgas,48.7672231,11.6239384,Konventionell,Eon
Irsching 6,Uniper SE,BY,85088.0,Vohburg,320.0,GT,Erdgas,48.7672231,11.6239384,Konventionell,Eon
Jänschwalde A,Lausitz Energie Kraftwerke AG (LEAG),BB,3185.0,Peitz,535.0,DKW,Braunkohle,51.18200084936483,12.373288242109178,Konventionell,Other
Jänschwalde B,Lausitz Energie Kraftwerke AG (LEAG),BB,3185.0,Peitz,535.0,DKW,Braunkohle,51.18200084936483,12.373288242109178,Konventionell,Other
Jänschwalde C,Lausitz Energie Kraftwerke AG (LEAG),BB,3185.0,Peitz,535.0,DKW,Braunkohle,51.18200084936483,12.373288242109178,Konventionell,Other
Jänschwalde D,Lausitz Energie Kraftwerke AG (LEAG),BB,3185.0,Peitz,535.0,DKW,Braunkohle,51.18200084936483,12.373288242109178,Konventionell,Other
Jochenstein / Donau,Grenzkraftwerke GmbH,BY,94107.0,Untergriesbach,133.7,LWK,Wasser,48.5735316,13.6678774,Erneuerbar,Other
Karlsruhe-RDK 4s,StW Karlsruhe / EnBW (Rheinhafen),BW,76189.0,Karlsruhe,363.5,GuD,Erdgas,49.01203544866294, 8.30302734002076,Konventionell,EnBW
Karlsruhe-RDK 7,StW Karlsruhe / EnBW (Rheinhafen),BW,76189.0,Karlsruhe,550.0,HKW,Steinkohle,49.01203544866294, 8.303027340020769,Konventionell,EnBW
