Category,Country,Year,ProvidedValue
Biomass,DE,2015,6804.36
Dampfkraftwerk,DE,2015,20929.0
Gas- und Dampfturbinenkraftwerk,DE,2015,28325.8
Heizkraftwerk,DE,2015,26479.6
Gas-und-Dampf-Kombikraftwerk,DE,2015,4280.6
Pumpspeicherkraftwerk,DE,2015,5281.5
Laufwasserkraftwerk,DE,2015,3811.25
Kernkraftwerk,DE,2015,10793.0
Andere Erneuerbare,DE,2015,511.69
Wind Offshore,DE,2015,3283.35
Wind Onshore (Land),DE,2015,41032.58
Photovoltaik,DE,2015,38523.46
Biomass,DE,2024,8641.89
Dampfkraftwerk,DE,2024,18636.29
Gas- und Dampfturbinenkraftwerk,DE,2024,36225.72
Heizkraftwerk,DE,2024,12966.51
Gas-und-Dampf-Kombikraftwerk,DE,2024,3966.28
Pumpspeicherkraftwerk,DE,2024,9350.0
Laufwasserkraftwerk,DE,2024,5227.29
Kernkraftwerk,DE,2024,0.0
Andere Erneuerbare,DE,2024,414.43
Wind Offshore,DE,2024,8386.35
Wind Onshore (Land),DE,2024,59915.58
Photovoltaik,DE,2024,73821.46